order no,item name,,order time,item group,qty
007D23010500007485,Ready Eat ,,1/5/2023 17:26,MAKANAN,3
007D23010500007486,TEH ,,1/5/2023 17:32,MINUMAN,1
007D23010500007486,KENTANG ,,1/5/2023 17:32,SNACK,1
007D23010500007487,Chocolate Malt ,,1/5/2023 18:23,TROPICAL SERIES,1
007D23010500007487,JERUK ,,1/5/2023 18:23,MINUMAN,1
007D23010500007487,NUGGET ,,1/5/2023 18:23,SNACK,1
007D23010500007488,KOPI , SUSU ,1/5/2023 18:59,KLOTOK SERIES,1
007D23010500007488,CIRENG ,,1/5/2023 18:59,SNACK,1
007D23010500007489,JERUK ,,1/5/2023 18:59,MINUMAN,1
007D23010500007490,KACANG BAWANG,,1/5/2023 19:02,SNACK,1
007D23010500007491,KOPI , SUSU ,1/5/2023 19:03,KLOTOK SERIES,1
007D23010500007492,KOPI , SUSU ,1/5/2023 19:15,KLOTOK SERIES,1
007D23010500007492,AIR MINERAL RON 88,,1/5/2023 19:15,BOTOL,1
007D23010500007493,SUSU COKLAT ,,1/5/2023 19:24,MINUMAN,1
007D23010500007494,KOPI , TANPA AMPAS ,1/5/2023 20:32,KLOTOK SERIES,1
007D23010500007495,JAHE , SUSU ,1/5/2023 20:33,MINUMAN,2
007D23010500007496,KOPI , CREAMER ,1/5/2023 21:00,KLOTOK SERIES,1
007D23010500007496,KOPI , CREAMER ,1/5/2023 21:00,KLOTOK SERIES,1
007D23010500007496,Ready Eat ,,1/5/2023 21:00,MAKANAN,2
007D23010500007496,NUGGET ,,1/5/2023 21:00,SNACK,1
007D23010500007497,Bintang Redler Lemon ,,1/5/2023 21:01,MINUMAN,1
007D23010500007497,Bintang CRYSTAL ,,1/5/2023 21:01,MINUMAN,1
007D23010500007498,62 ( noms snack 2000 ),,1/5/2023 21:08,SNACK,2
007D23010500007499,CIRENG ,,1/5/2023 21:30,SNACK,1
007D23010500007499,TAHU , BAKSO ,1/5/2023 21:30,MAKANAN,1
007D23010500007499,Taro ,,1/5/2023 21:30,TROPICAL SERIES,1
007D23010500007499,NUGGET ,,1/5/2023 21:30,SNACK,1
007D23010500007499,CLASS MILD 12,,1/5/2023 21:30,ROKOK,1
007D23010500007499,Bintang Redler Lemon ,,1/5/2023 21:30,MINUMAN,1
007D23010500007500,Coffe choco orange ,,1/5/2023 21:53,MINUMAN,1
007D23010500007500,Bintang CRYSTAL ,,1/5/2023 21:53,MINUMAN,1
007D23010500007501,TEH ,,1/5/2023 23:27,MINUMAN,1
